15,12,ADC_SAT_SHIFT_CTRL_LANE_8,RW,
,[2:0],adc_sat_lane8_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 8 Mode 0,3'h3
,[5:3],adc_sat_lane8_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 8 Mode 1,3'h1
,[8:6],adc_sat_lane8_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 8 Mode 2,3'h0
,[11:9],adc_sat_lane8_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 8 Mode 3,3'h7

16,32,DAC_SAT_COUNTERS_1,RO,
,[15:0],dac_sat_counter_0,DAC Saturation Bit counter 0.,
,[31:16],dac_sat_counter_1,DAC Saturation Bit counter 1.,

17,32,DAC_SAT_COUNTERS_2,RO,
,[15:0],dac_sat_counter_2,DAC Saturation Bit counter 2.,
,[31:16],dac_sat_counter_3,DAC Saturation Bit counter 3.,

18,32,DAC_SAT_COUNTERS_3,RO,
,[15:0],dac_sat_counter_4,DAC Saturation Bit counter 4.,
,[31:16],dac_sat_counter_5,DAC Saturation Bit counter 5.,

19,32,DAC_SAT_COUNTERS_4,RO,
,[15:0],dac_sat_counter_6,DAC Saturation Bit counter 6.,
,[31:16],dac_sat_counter_7,DAC Saturation Bit counter 7.,

20,32,DAC_SAT_COUNTERS_5,RO,
,[15:0],dac_sat_counter_8,DAC Saturation Bit counter 8.,
,[31:16],dac_sat_counter_9,DAC Saturation Bit counter 9.,

21,1,SAT_SELF_CLEARING,RW,
a,[0],clear_dac_sat_counters,Clear all DAC saturation bit counters.,1'b0

22,32,ADC_SAT_LANE_DISABLE,RW,
,[3:0],adc_lane1_disable_bits,Lane 1 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[7:4],adc_lane2_disable_bits,Lane 2 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[11:8],adc_lane3_disable_bits,Lane 3 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[15:12],adc_lane4_disable_bits,Lane 4 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[19:16],adc_lane5_disable_bits,Lane 5 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[23:20],adc_lane6_disable_bits,Lane 6 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[27:24],adc_lane7_disable_bits,Lane 7 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0
,[31:28],adc_lane8_disable_bits,Lane 8 saturation FSM disable bit for each of 4 saturation shift modes.,4'h0

23,3,ADC_SAT_SHIFT,RW,
,[2:0],adc_sat_shift,Saturtion bit lane shift distance (0-7),3'h6

